> Back in the day, the programming used up all the space on a cartridge, so if
> we wanted to add something new, we had to clean it up first... First we'd
> find enough space, then we could make what we wanted... It was a pain!
> 
> -- Morimoto, Pokémon Ultra Sun/Ultra Moon
> <https://www.serebii.net/ultrasunultramoon/virtualconsole.shtml>

Free space: 590307/2097152 (28.15%)

bank	end	free
$00	$3faa	$0056
$01	$7ffc	$0004
$02	$8000	$0000
$03	$8000	$0000
$04	$8000	$0000
$05	$7ffe	$0002
$06	$7ffe	$0002
$07	$7fff	$0001
$08	$7fff	$0001
$09	$7ffe	$0002
$0a	$7ffd	$0003
$0b	$7fff	$0001
$0c	$7ff5	$000b
$0d	$7ffd	$0003
$0e	$7ffb	$0005
$0f	$8000	$0000
$10	$7fff	$0001
$11	$7ffa	$0006
$12	$7fed	$0013
$13	$7ffb	$0005
$14	$7ff8	$0008
$15	$8000	$0000
$16	$7ff5	$000b
$17	$8000	$0000
$18	$7ffd	$0003
$19	$7fff	$0001
$1a	$7ffe	$0002
$1b	$7ffb	$0005
$1c	$7ffe	$0002
$1d	$8000	$0000
$1e	$7ffe	$0002
$1f	$7feb	$0015
$20	$8000	$0000
$21	$8000	$0000
$22	$8000	$0000
$23	$7ffe	$0002
$24	$7ff9	$0007
$25	$7ffe	$0002
$26	$7fff	$0001
$27	$7ffb	$0005
$28	$7ff6	$000a
$29	$7ffe	$0002
$2a	$7fff	$0001
$2b	$7ff4	$000c
$2c	$7ffe	$0002
$2d	$7ffc	$0004
$2e	$7ffe	$0002
$2f	$7ffe	$0002
$30	$7fff	$0001
$31	$7ffd	$0003
$32	$8000	$0000
$33	$7ffe	$0002
$34	$7ffb	$0005
$35	$8000	$0000
$36	$7ffc	$0004
$37	$7ffe	$0002
$38	$8000	$0000
$39	$7ff0	$0010
$3a	$7ffe	$0002
$3b	$7ffe	$0002
$3c	$7fef	$0011
$3d	$8000	$0000
$3e	$7ffe	$0002
$3f	$7ffc	$0004
$40	$7ff8	$0008
$41	$7ff4	$000c
$42	$7ff1	$000f
$43	$7fe6	$001a
$44	$7ffa	$0006
$45	$7ffd	$0003
$46	$7fff	$0001
$47	$7ff0	$0010
$48	$7ff5	$000b
$49	$7fee	$0012
$4a	$7fbf	$0041
$4b	$7ff1	$000f
$4c	$7ffd	$0003
$4d	$7e9d	$0163
$4e	$7faa	$0056
$4f	$7e41	$01bf
$50	$7fe0	$0020
$51	$7f66	$009a
$52	$7bf5	$040b
$53	$7fd5	$002b
$54	$7f92	$006e
$55	$7d0c	$02f4
$56	$7fab	$0055
$57	$7f97	$0069
$58	$7d01	$02ff
$59	$7a0c	$05f4
$5a	$7ffb	$0005
$5b	$7f1e	$00e2
$5c	$5685	$297b
$5d	$4000	$4000
$5e	$4000	$4000
$5f	$4000	$4000
$60	$4000	$4000
$61	$4000	$4000
$62	$4000	$4000
$63	$4000	$4000
$64	$4000	$4000
$65	$4000	$4000
$66	$4000	$4000
$67	$4000	$4000
$68	$4000	$4000
$69	$4000	$4000
$6a	$4000	$4000
$6b	$4000	$4000
$6c	$4000	$4000
$6d	$4000	$4000
$6e	$4000	$4000
$6f	$4000	$4000
$70	$4000	$4000
$71	$4000	$4000
$72	$4000	$4000
$73	$4000	$4000
$74	$4000	$4000
$75	$4000	$4000
$76	$4000	$4000
$77	$4000	$4000
$78	$4000	$4000
$79	$4000	$4000
$7a	$4000	$4000
$7b	$4000	$4000
$7c	$4000	$4000
$7d	$4000	$4000
$7e	$4000	$4000
$7f	$4000	$4000
